date,Average trip duration
2020-03-09,825.0104328523862
2020-03-10,845.0334738724927
2020-03-11,858.4203905123837
2020-03-12,1049.8360282668582
2020-03-13,1153.971315529179
2020-03-14,1718.7824773413897
2020-03-15,2004.7420132610007
2020-03-16,958.0143408714837
2020-03-17,1241.6593906321054
2020-03-18,1070.4488151658768
2020-03-19,1902.9110889110889
2020-03-20,1306.9751179751179
2020-03-21,1902.549858889934
2020-03-22,2352.528387585163
2020-03-23,1584.414038657172
2020-03-24,1721.021801727684
2020-03-25,2350.151714783957
2020-03-26,2642.6953125
2020-03-27,6330.358389261745
2020-03-28,1480.4719334719334
2020-03-29,1514.8179329226557
2020-03-30,1148.5376676986584
2020-03-31,2923.342786683107
